YearsExperience,Salary
0.2,36832.51
0.6,35411.45
0.7,45762.72
0.8,36495.78
1.2,47444.32
1.7,41351.65
1.9,46409.07
1.9,54034.31
2.0,57692.33
2.2,56756.84
2.2,55321.76
2.4,56294.48
2.5,51357.39
3.5,64650.78
3.5,65946.81
3.7,75435.61
3.7,71868.09
4.4,67984.8
4.5,79370.42
5.2,82474.59
5.3,81965.39
5.5,90308.38
6.2,99055.0
6.3,99506.4
7.1,98253.91
7.2,101853.94
7.2,105056.32
7.3,109227.73
7.3,101954.13
8.2,111971.71
8.5,110218.33
8.8,112618.97
9.4,128362.63
9.7,133931.2
10.0,129639.95
10.4,138817.66
11.4,145108.18
11.4,140074.4
11.6,147006.98
11.6,152890.18
